,precision,recall,f1-score,support
DCM,1.0,1.0,1.0,4.0
HCM,1.0,0.75,0.8571428571428571,4.0
MINF,0.8,1.0,0.8888888888888888,4.0
NOR,1.0,0.75,0.8571428571428571,4.0
RV,0.8,1.0,0.8888888888888888,4.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9199999999999999,0.9,0.8984126984126984,20.0
weighted avg,0.9199999999999999,0.9,0.8984126984126984,20.0
