,precision,recall,f1-score,support
DCM,0.5,0.5,0.5,4.0
HCM,1.0,0.25,0.4,4.0
MINF,1.0,0.25,0.4,4.0
NOR,0.0,0.0,0.0,4.0
RV,0.3333333333333333,0.75,0.46153846153846156,4.0
accuracy,0.35,0.35,0.35,0.35
macro avg,0.5666666666666667,0.35,0.3523076923076923,20.0
weighted avg,0.5666666666666667,0.35,0.3523076923076923,20.0
