,precision,recall,f1-score,support
DCM,0.5,0.25,0.3333333333333333,4.0
HCM,0.5,0.75,0.6,4.0
MINF,0.3333333333333333,0.25,0.2857142857142857,4.0
NOR,0.6,0.75,0.6666666666666666,4.0
RV,1.0,1.0,1.0,4.0
accuracy,0.6,0.6,0.6,0.6
macro avg,0.5866666666666667,0.6,0.5771428571428572,20.0
weighted avg,0.5866666666666667,0.6,0.5771428571428572,20.0
