,precision,recall,f1-score,support
DCM,0.3333333333333333,0.5,0.4,4.0
HCM,0.25,0.25,0.25,4.0
MINF,0.6666666666666666,0.5,0.5714285714285714,4.0
NOR,0.0,0.0,0.0,4.0
RV,1.0,0.5,0.6666666666666666,4.0
accuracy,0.35,0.35,0.35,0.35
macro avg,0.45,0.35,0.37761904761904763,20.0
weighted avg,0.45,0.35,0.37761904761904763,20.0
