,precision,recall,f1-score,support
DCM,0.0,0.0,0.0,4.0
HCM,0.0,0.0,0.0,4.0
MINF,0.2,1.0,0.3333333333333333,4.0
NOR,0.0,0.0,0.0,4.0
RV,0.0,0.0,0.0,4.0
accuracy,0.2,0.2,0.2,0.2
macro avg,0.04,0.2,0.06666666666666667,20.0
weighted avg,0.04,0.2,0.06666666666666667,20.0
