,precision,recall,f1-score,support
DCM,0.5714285714285714,1.0,0.7272727272727273,4.0
HCM,0.75,0.75,0.75,4.0
MINF,1.0,0.25,0.4,4.0
NOR,1.0,0.5,0.6666666666666666,4.0
RV,0.6666666666666666,1.0,0.8,4.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7976190476190476,0.7,0.6687878787878787,20.0
weighted avg,0.7976190476190476,0.7,0.6687878787878787,20.0
