,precision,recall,f1-score,support
DCM,0.6,0.75,0.6666666666666666,4.0
HCM,0.6,0.75,0.6666666666666666,4.0
MINF,0.6666666666666666,0.5,0.5714285714285714,4.0
NOR,1.0,0.5,0.6666666666666666,4.0
RV,0.8,1.0,0.8888888888888888,4.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7333333333333334,0.7,0.692063492063492,20.0
weighted avg,0.7333333333333334,0.7,0.692063492063492,20.0
